

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
119.497  006.377  000.188: require('nvim-tree.explorer')
119.501  006.911  000.162: require('nvim-tree.core')
119.830  000.328  000.328: require('nvim-tree.diagnostics')
120.174  000.166  000.166: require('nvim-tree.modified')
120.179  000.346  000.180: require('nvim-tree.renderer.components.modified')
120.454  000.273  000.273: require('nvim-tree.renderer.components.padding')
120.745  000.286  000.286: require('nvim-tree.renderer.components.icons')
120.999  000.251  000.251: require('nvim-tree.renderer.components.full-name')
121.286  000.284  000.284: require('nvim-tree.renderer.components.git')
121.751  000.462  000.462: require('nvim-tree.renderer.builder')
121.980  000.226  000.226: require('nvim-tree.marks')
121.992  009.678  000.310: require('nvim-tree.renderer')
122.000  009.937  000.259: require('nvim-tree.lib')
122.259  000.257  000.257: require('nvim-tree.colors')
123.889  000.227  000.227: require('nvim-tree.actions.finders.find-file')
123.893  000.454  000.227: require('nvim-tree.actions.tree.open')
124.074  000.179  000.179: require('nvim-tree.actions.tree.toggle')
124.277  000.199  000.199: require('nvim-tree.actions.reloaders.reloaders')
124.434  000.154  000.154: require('nvim-tree.actions.root.dir-up')
124.682  000.235  000.235: require('nvim-tree.actions.tree.find-file')
124.884  000.199  000.199: require('nvim-tree.actions.finders.search-node')
125.066  000.180  000.180: require('nvim-tree.actions.tree-modifiers.collapse-all')
125.285  000.217  000.217: require('nvim-tree.actions.tree-modifiers.expand-all')
125.459  000.171  000.171: require('nvim-tree.actions.tree-modifiers.toggles')
126.024  000.281  000.281: require('nvim-tree.keymap')
126.030  000.565  000.284: require('nvim-tree.help')
126.260  000.227  000.227: require('nvim-tree.actions.fs.create-file')
126.510  000.248  000.248: require('nvim-tree.actions.fs.remove-file')
126.757  000.244  000.244: require('nvim-tree.actions.fs.trash')
126.985  000.225  000.225: require('nvim-tree.actions.fs.rename-file')
127.368  000.378  000.378: require('nvim-tree.actions.fs.copy-paste')
127.592  000.207  000.207: require('nvim-tree.actions.node.file-popup')
127.755  000.161  000.161: require('nvim-tree.actions.node.run-command')
127.955  000.197  000.197: require('nvim-tree.actions.node.system-open')
128.132  000.175  000.175: require('nvim-tree.actions.moves.sibling')
128.305  000.169  000.169: require('nvim-tree.actions.moves.parent')
128.545  000.237  000.237: require('nvim-tree.actions.moves.item')
128.851  000.227  000.227: require('nvim-tree.marks.bulk-delete')
129.156  000.301  000.301: require('nvim-tree.marks.bulk-move')
129.821  000.419  000.419: require('nvim-tree.actions.node.open-file')
129.849  000.672  000.253: require('nvim-tree.marks.navigation')
